word, tf, df
金, 4571, 1428
元, 2711, 864
產品, 2563, 917
匯率, 2342, 605
訴訟, 1957, 498
市場, 1789, 924
實, 1543, 837
膨脹, 1246, 464
通貨膨脹, 1220, 459
技術, 1200, 495
集中, 1153, 509
科技, 1068, 588
價格, 924, 644
需求, 816, 535
避險, 712, 427
生產, 707, 405
銀, 695, 372
擴充, 677, 505
併購, 654, 451
外匯, 614, 344
外幣, 592, 311
證券, 590, 397
借款, 552, 293
競爭, 538, 331
執行, 521, 311
稅, 502, 155
經濟, 466, 246
維持, 460, 377
實質, 444, 361
設備, 432, 232
美元, 381, 168
標的, 369, 296
原料, 362, 223
安全, 339, 151
環境, 297, 207
美金, 285, 153
材料, 284, 154
負債, 277, 182
專利, 262, 65
油, 254, 112
產能, 250, 140
外銷, 234, 167
消費, 230, 164
人員, 214, 161
創新, 202, 140
鋼, 162, 51
圓, 160, 73
責任, 159, 118
衍生性金融商品, 157, 120
合併, 148, 99
損害, 145, 54
被告, 145, 38
財務狀況, 130, 115
消費者, 127, 88
市場需求, 123, 98
認證, 121, 68
銀行借款, 119, 104
品牌, 115, 77
信用風險, 111, 59
原告, 106, 32
債務, 104, 82
行銷, 102, 74
發行, 102, 85
程度, 95, 83
訂單, 90, 67
損害賠償, 90, 38
出口, 90, 73
人民幣, 87, 40
內部控制, 74, 51
結合, 73, 62
遵守, 70, 67
歐元, 70, 47
驗證, 70, 34
研究發展, 69, 57
營運資金, 65, 57
專利權, 64, 24
IT, 63, 30
負擔, 62, 50
資金成本, 62, 54
貸款, 61, 44
歐盟, 59, 25
同意, 59, 35
訓練, 58, 43
減損, 58, 11
管制, 56, 29
軟體, 52, 34
產製, 52, 36
聯邦, 52, 15
擴展, 51, 46
購併, 47, 25
單一客戶, 46, 43
資本支出, 44, 39
關係人, 42, 29
生產技術, 40, 39
日圓, 39, 28
電力, 39, 24
貨幣政策, 39, 30
經銷商, 38, 24
檢查, 38, 27
分配, 38, 23
金屬, 36, 28
反托拉斯, 36, 5
到期, 35, 29
家庭, 35, 28
短缺, 34, 34
期貨, 34, 25
智慧財產, 33, 19
換匯, 33, 28
違約, 31, 22
經濟成長, 31, 20
人事, 30, 22
抵押, 30, 11
循環, 30, 27
約定, 29, 20
燃料, 28, 11
國際財務報導準則, 26, 25
原油, 25, 18
產品發展, 25, 22
競爭者, 24, 17
擔保品, 22, 17
收購, 22, 13
廢棄, 20, 18
擴張, 20, 19
等級, 20, 14
合資, 20, 12
石油, 19, 16
石灰, 19, 6
能量, 18, 16
設施, 17, 15
國稅, 17, 5
強制執行, 17, 11
天然氣, 17, 11
租稅, 17, 7
加計, 17, 14
企業文化, 17, 12
政府政策, 16, 10
評等, 16, 13
國稅局, 14, 5
住宅, 14, 13
套利, 14, 14
高階主管, 13, 11
風險因素, 13, 11
即期, 13, 13
證書, 13, 9
賠償金, 13, 11
證明, 13, 10
產出, 13, 11
重組, 12, 7
傷害, 12, 9
營業稅, 12, 7
立法, 12, 10
成本控制, 12, 12
煤, 12, 9
紅利, 11, 7
產品組合, 11, 10
成長率, 11, 9
金融風暴, 11, 10
