filename, totalwords, totalkwds, Tax, Legal, Fin, Sys, Idio, rm_totalwords, rm_totalkwds, rm_Tax, rm_Legal, rm_Fin, rm_Sys, rm_Idio, rate_totalwords, rate_totalkwds, rate_Tax, rate_Legal, rate_Fin, rate_Sys, rate_Idio, techindustry_totalwords, techindustry_totalkwds, techindustry_Tax, techindustry_Legal, techindustry_Fin, techindustry_Sys, techindustry_Idio, investment_totalwords, investment_totalkwds, investment_Tax, investment_Legal, investment_Fin, investment_Sys, investment_Idio, expansion_totalwords, expansion_totalkwds, expansion_Tax, expansion_Legal, expansion_Fin, expansion_Sys, expansion_Idio, purchsales_totalwords, purchsales_totalkwds, purchsales_Tax, purchsales_Legal, purchsales_Fin, purchsales_Sys, purchsales_Idio, rd_totalwords, rd_totalkwds, rd_Tax, rd_Legal, rd_Fin, rd_Sys, rd_Idio, image_totalwords, image_totalkwds, image_Tax, image_Legal, image_Fin, image_Sys, image_Idio, shares_totalwords, shares_totalkwds, shares_Tax, shares_Legal, shares_Fin, shares_Sys, shares_Idio, merge_totalwords, merge_totalkwds, merge_Tax, merge_Legal, merge_Fin, merge_Sys, merge_Idio, manage_totalwords, manage_totalkwds, manage_Tax, manage_Legal, manage_Fin, manage_Sys, manage_Idio, rule_totalwords, rule_totalkwds, rule_Tax, rule_Legal, rule_Fin, rule_Sys, rule_Idio, lawsuit_totalwords, lawsuit_totalkwds, lawsuit_Tax, lawsuit_Legal, lawsuit_Fin, lawsuit_Sys, lawsuit_Idio, else_totalwords, else_totalkwds, else_Tax, else_Legal, else_Fin, else_Sys, else_Idio, crisis_totalwords, crisis_totalkwds, crisis_Tax, crisis_Legal, crisis_Fin, crisis_Sys, crisis_Idio, other_totalwords, other_totalkwds, other_Tax, other_Legal, other_Fin, other_Sys, other_Idio, 
3042晶技, 2222, 228, 1, 24, 5, 105, 93, 384, 40, 0, 12, 0, 5, 23, 278, 41, 0, 0, 1, 30, 10, 135, 20, 0, 0, 1, 10, 9, 156, 17, 0, 0, 1, 15, 1, 61, 14, 0, 0, 0, 9, 5, 49, 9, 0, 0, 0, 3, 6, 434, 36, 0, 1, 0, 12, 23, 303, 24, 1, 6, 2, 3, 12, 19, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 319, 16, 0, 2, 0, 12, 2, 56, 10, 0, 3, 0, 6, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9802F-鈺齊, 1180, 148, 1, 9, 3, 79, 56, 0, 0, 0, 0, 0, 0, 0, 336, 59, 1, 1, 3, 44, 10, 111, 18, 0, 0, 0, 6, 12, 126, 9, 0, 0, 0, 9, 0, 55, 6, 0, 0, 0, 4, 2, 125, 17, 0, 0, 0, 2, 15, 74, 10, 0, 0, 0, 2, 8, 51, 2, 0, 0, 0, 0, 2, 24, 0, 0, 0, 0, 0, 0, 59, 6, 0, 1, 0, 0, 5, 43, 0, 0, 0, 0, 0, 0, 93, 8, 0, 3, 0, 4, 1, 74, 13, 0, 4, 0, 8, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 
1229聯華, 1294, 109, 1, 10, 1, 60, 37, 233, 23, 1, 6, 0, 5, 11, 193, 23, 0, 0, 0, 18, 5, 20, 2, 0, 0, 0, 0, 2, 339, 17, 0, 1, 0, 15, 1, 27, 4, 0, 0, 0, 0, 4, 18, 2, 0, 0, 0, 0, 2, 282, 28, 0, 0, 1, 18, 9, 25, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 71, 9, 0, 3, 0, 4, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1308亞聚, 1007, 102, 1, 9, 2, 55, 35, 197, 18, 0, 3, 0, 9, 6, 138, 28, 0, 0, 0, 23, 5, 39, 2, 0, 0, 0, 0, 2, 125, 9, 0, 0, 1, 8, 0, 55, 8, 0, 0, 0, 3, 5, 44, 4, 0, 0, 0, 2, 2, 54, 6, 0, 0, 0, 1, 5, 31, 1, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 26, 3, 0, 0, 1, 0, 2, 26, 1, 0, 1, 0, 0, 0, 63, 4, 1, 0, 0, 2, 1, 99, 12, 0, 4, 0, 7, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 6, 0, 1, 0, 0, 5, 
6243迅杰, 524, 85, 0, 2, 2, 54, 27, 0, 0, 0, 0, 0, 0, 0, 100, 21, 0, 0, 0, 18, 3, 31, 10, 0, 0, 0, 3, 7, 134, 24, 0, 0, 2, 20, 2, 10, 1, 0, 0, 0, 0, 1, 102, 18, 0, 0, 0, 7, 11, 26, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 0, 1, 10, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 54, 9, 0, 2, 0, 6, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3011今皓, 517, 59, 0, 7, 2, 37, 13, 0, 0, 0, 0, 0, 0, 0, 209, 31, 0, 1, 1, 24, 5, 31, 6, 0, 0, 0, 3, 3, 59, 3, 0, 0, 0, 3, 0, 8, 1, 0, 0, 0, 0, 1, 7, 1, 0, 0, 0, 0, 1, 12, 1, 0, 1, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 26, 0, 0, 0, 0, 0, 0, 17, 2, 0, 0, 0, 0, 2, 17, 0, 0, 0, 0, 0, 0, 41, 3, 0, 2, 0, 1, 0, 53, 10, 0, 3, 0, 6, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1715亞化, 1146, 104, 0, 9, 10, 57, 28, 0, 0, 0, 0, 0, 0, 0, 91, 22, 0, 0, 5, 13, 4, 25, 8, 0, 0, 0, 1, 7, 53, 2, 0, 0, 0, 2, 0, 77, 19, 0, 0, 2, 11, 6, 40, 5, 0, 0, 0, 3, 2, 43, 5, 0, 0, 0, 5, 0, 26, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 13, 2, 0, 0, 0, 0, 2, 18, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 687, 41, 0, 9, 3, 22, 7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1414東和, 368, 30, 0, 3, 2, 16, 9, 0, 0, 0, 0, 0, 0, 0, 55, 8, 0, 0, 2, 6, 0, 10, 1, 0, 0, 0, 0, 1, 22, 1, 0, 0, 0, 1, 0, 8, 1, 0, 0, 0, 0, 1, 62, 6, 0, 0, 0, 2, 4, 12, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 38, 2, 0, 0, 0, 1, 1, 8, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 59, 10, 0, 3, 0, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3050鈺德, 901, 127, 0, 21, 8, 60, 38, 0, 0, 0, 0, 0, 0, 0, 197, 41, 0, 0, 4, 31, 6, 106, 16, 0, 0, 0, 7, 9, 91, 9, 0, 1, 1, 7, 0, 11, 1, 0, 0, 0, 0, 1, 38, 3, 0, 0, 0, 1, 2, 36, 4, 0, 0, 0, 2, 2, 131, 9, 0, 2, 1, 3, 3, 76, 8, 0, 0, 0, 1, 7, 11, 1, 0, 0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 54, 10, 0, 3, 0, 6, 1, 126, 25, 0, 15, 2, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1504東元, 1529, 184, 0, 3, 6, 101, 74, 70, 3, 0, 0, 0, 2, 1, 285, 51, 0, 0, 2, 46, 3, 143, 18, 0, 0, 1, 4, 13, 246, 15, 0, 0, 2, 13, 0, 15, 2, 0, 0, 0, 0, 2, 106, 6, 0, 0, 0, 4, 2, 464, 73, 0, 0, 1, 23, 49, 73, 4, 0, 0, 0, 3, 1, 34, 0, 0, 0, 0, 0, 0, 12, 2, 0, 0, 0, 0, 2, 8, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 54, 10, 0, 3, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2511太子, 501, 50, 0, 1, 1, 38, 10, 0, 0, 0, 0, 0, 0, 0, 183, 25, 0, 0, 1, 20, 4, 12, 1, 0, 0, 0, 0, 1, 89, 9, 0, 0, 0, 9, 0, 11, 1, 0, 0, 0, 0, 1, 11, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 0, 1, 0, 42, 0, 0, 0, 0, 0, 0, 11, 1, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 71, 10, 0, 0, 0, 8, 2, 7, 1, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
1603華電, 550, 72, 3, 1, 2, 49, 17, 0, 0, 0, 0, 0, 0, 0, 306, 54, 3, 0, 2, 40, 9, 10, 1, 0, 0, 0, 0, 1, 64, 3, 0, 0, 0, 3, 0, 10, 1, 0, 0, 0, 0, 1, 9, 1, 0, 0, 0, 0, 1, 72, 8, 0, 0, 0, 5, 3, 10, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 15, 3, 0, 1, 0, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
