word, tf, df
金, 8987, 1770
產品, 7620, 1377
元, 5633, 1236
市場, 4083, 1384
稅, 3893, 406
匯率, 3722, 638
技術, 3667, 824
實, 3406, 1237
訴訟, 2821, 485
生產, 2408, 720
集中, 2301, 585
科技, 2147, 718
經濟, 2068, 502
證券, 2031, 571
價格, 1980, 909
需求, 1734, 848
膨脹, 1679, 477
通貨膨脹, 1630, 472
競爭, 1511, 559
銀, 1416, 534
外匯, 1415, 505
專利, 1382, 193
設備, 1291, 433
執行, 1250, 480
環境, 1137, 457
外幣, 1085, 448
人員, 1003, 373
維持, 950, 636
擴充, 913, 542
原料, 905, 373
發行, 905, 272
併購, 899, 447
避險, 784, 421
材料, 713, 277
消費, 698, 332
美元, 653, 263
實質, 620, 513
產能, 574, 274
人民幣, 541, 119
借款, 540, 279
標的, 518, 358
美金, 518, 240
管制, 517, 171
圓, 473, 119
品牌, 464, 165
財務狀況, 456, 389
租稅, 454, 136
外銷, 409, 261
訂單, 401, 192
認證, 392, 149
合併, 375, 194
被告, 369, 99
專利權, 361, 101
原告, 343, 91
軟體, 343, 90
消費者, 312, 169
安全, 311, 179
負債, 309, 178
期貨, 301, 43
行銷, 290, 131
損害, 289, 123
程度, 285, 206
IT, 283, 96
出口, 278, 80
創新, 277, 195
金屬, 253, 91
油, 251, 118
責任, 246, 161
鋼, 236, 66
結合, 232, 132
市場需求, 217, 165
同意, 193, 101
遵守, 187, 138
衍生性金融商品, 184, 156
經濟成長, 183, 48
智慧財產, 180, 70
成長率, 179, 64
分配, 173, 70
廢棄, 167, 27
短缺, 166, 128
債務, 157, 98
產製, 156, 110
股利, 155, 51
國稅, 150, 51
銀行借款, 141, 105
擴展, 135, 115
損害賠償, 135, 67
循環, 133, 86
臨床試驗, 120, 30
貸款, 120, 76
研究發展, 119, 91
訓練, 118, 67
驗證, 118, 53
罰款, 114, 42
約定, 113, 62
經銷商, 112, 68
增值稅, 109, 34
有價證券, 109, 62
商標, 108, 32
證明, 107, 67
負擔, 106, 79
營運資金, 106, 91
國稅局, 105, 40
聯邦, 101, 37
到期, 100, 73
單一客戶, 97, 77
生產技術, 95, 64
違約, 94, 29
競爭者, 93, 66
歐元, 91, 48
歐盟, 88, 50
產出, 85, 58
強制執行, 78, 40
電力, 73, 27
關係人, 71, 32
知名度, 70, 51
購併, 70, 50
課稅, 69, 34
內部控制, 68, 50
能量, 68, 49
產品發展, 67, 49
收購, 65, 18
人事, 61, 50
金融風暴, 61, 42
詐欺, 60, 34
貨幣政策, 56, 41
擴張, 56, 40
資本支出, 54, 44
檢查, 54, 30
設施, 50, 34
廣告, 50, 27
證書, 50, 37
賠償金, 50, 39
產業景氣, 49, 36
家庭, 48, 35
資金成本, 47, 40
石油, 43, 31
加計, 41, 30
政府政策, 39, 34
黃金, 38, 7
有害, 36, 21
重整, 36, 19
單一供應商, 35, 30
換匯, 35, 30
信用風險, 34, 27
紅利, 33, 20
合資, 33, 26
人工成本, 32, 21
市價, 32, 15
抵押, 30, 11
承銷, 29, 22
立法, 29, 21
營業稅, 28, 13
查詢, 27, 17
網際網路, 27, 19
原油, 26, 19
經濟衰退, 26, 21
產品組合, 26, 23
風險因素, 25, 21
計入, 25, 12
商譽, 24, 16
附屬, 24, 19
勞資關係, 23, 21
重組, 22, 15
電氣, 22, 14
配銷, 22, 9
套利, 21, 19
新建工程, 20, 1
集中度, 19, 18
經濟增長, 19, 14
日圓, 19, 14
規模經濟, 19, 17
減損, 18, 8
詢問, 18, 13
納稅義務, 18, 18
勞動成本, 18, 12
傷害, 17, 14
等級, 17, 14
專利的, 15, 10
季節性, 15, 13
消費品, 14, 14
再保險, 14, 14
中東, 14, 11
擔保品, 13, 9
燃料, 13, 8
即期, 13, 10
天然災害, 13, 9
市場接受度, 13, 10
戰爭, 12, 6
抵押品, 12, 1
勞動關係, 11, 8
稅金, 11, 11
推銷, 11, 3
所有權人, 11, 4
財政政策, 11, 9
成本控制, 11, 10
高階主管, 10, 7
汙染, 10, 5
企業文化, 10, 10
評等, 10, 8
911, 9, 8
商業化, 9, 6
替代品, 9, 6
貨物稅, 8, 7
不景氣, 8, 8
投資子公司, 8, 7
臨床實驗, 7, 5
產業環境, 7, 7
住宅, 7, 7
高層, 7, 5
折扣, 6, 5
整治, 6, 4
產品責任, 6, 5
煤, 6, 5
反托拉斯, 6, 2
國內生產毛額, 5, 5
過時, 5, 3
信用評等, 5, 5
礦業, 5, 3
石灰, 5, 3
陳廢, 5, 4
國稅局審查, 4, 2
稅捐機關, 4, 3
價格壓力, 4, 3
改良物, 4, 3
家族, 4, 3
消費者信心, 4, 4
到期日, 4, 4
財產稅, 4, 3
產品性能, 4, 4
資產減損, 4, 4
吸收合併, 3, 3
資訊技術, 3, 3
曝光度, 3, 3
國際財務報導準則, 3, 3
SARS, 3, 3
補救, 3, 1
裁員, 3, 2
欠稅, 3, 2
儲蓄, 3, 3
市場供給, 3, 2
消費者支出, 3, 2
預約, 3, 3
礦物, 3, 2
稀釋, 3, 3
資金狀況, 3, 3
知識的, 3, 3
承保範圍, 2, 1
天然氣, 2, 1
信用評級, 2, 1
經濟條件, 2, 1
遠期契約, 2, 2
遞延所得稅資產, 2, 1
銀行債務, 2, 2
加值稅, 2, 1
準備率, 2, 2
答應, 2, 2
服從, 2, 1
短少, 2, 2
遠期交易, 2, 2
資訊科技, 2, 2
應允, 1, 1
經濟學, 1, 1
重要人員, 1, 1
採礦, 1, 1
重大缺失, 1, 1
折現, 1, 1
利益衝突, 1, 1
特許權, 1, 1
所有物, 1, 1
唯一供應商, 1, 1
加害, 1, 1
政府認可, 1, 1
氣象, 1, 1
意外事故, 1, 1
退休後, 1, 1
市集, 1, 1
操作環境, 1, 1
汽油, 1, 1
融資租賃, 1, 1
新產品發展, 1, 1
分等, 1, 1
天氣, 1, 1
政局不穩, 1, 1
維護費, 1, 1
債務負擔, 1, 1
盧比, 1, 1
消費稅, 1, 1
合資經營, 1, 1
知識份子, 1, 1
獨佔的, 1, 1
自然災害, 1, 1
冗贅, 0, 0
顧客服務, 0, 0
一般狀況, 0, 0
加盟事業, 0, 0
特許加盟, 0, 0
跌破面值股票, 0, 0
用智力的, 0, 0
實施新方法的影響, 0, 0
專營權, 0, 0
確定給付退休金計畫, 0, 0
資產受損, 0, 0
反接收, 0, 0
匯報管理, 0, 0
新產品允收, 0, 0
亞洲危機, 0, 0
管理保留, 0, 0
有固定利息的情況, 0, 0
知性的, 0, 0
限制變革, 0, 0
不利的仲裁, 0, 0
股票市場上市, 0, 0
商譽損害, 0, 0
選擇權??, 0, 0
限制的環境, 0, 0
被限制的交易, 0, 0
電腦聯線, 0, 0
持有人的, 0, 0
判例的強制性, 0, 0
聯合開發, 0, 0
I.T., 0, 0
有限的貿易, 0, 0
不動產抵押證券, 0, 0
易變的收益, 0, 0
管制變革, 0, 0
單獨供應商, 0, 0
互補品, 0, 0
投資機器設備, 0, 0
市場接受性, 0, 0
新的理財, 0, 0
所有權集中條款, 0, 0
股票價格跌降, 0, 0
重議價, 0, 0
重構的實施, 0, 0
有智慧的, 0, 0
客戶集中度, 0, 0
有限的經營歷史, 0, 0
遞延所得稅負債, 0, 0
管制變更, 0, 0
政府調查, 0, 0
伊拉克, 0, 0
政治氣候, 0, 0
投資租賃工廠設備, 0, 0
信息科技, 0, 0
長期借款的狀況, 0, 0
稅務審查, 0, 0
短期合營, 0, 0
單獨顧客, 0, 0
裁決的強制性, 0, 0
取捨權, 0, 0
工會執照, 0, 0
高階管理層, 0, 0
零股, 0, 0
貨幣瓦解, 0, 0
消費者集中度, 0, 0
營利化, 0, 0
波動性的銷售, 0, 0
經營維持, 0, 0
規定改變, 0, 0
交貨，交割, 0, 0
籌資租賃, 0, 0
可能的重申, 0, 0
供應鏈合併效果, 0, 0
限制變更, 0, 0
運用資本, 0, 0
美國財務會計準則委員會48號公報, 0, 0
礦石, 0, 0
槓桿作用, 0, 0
不利的審判, 0, 0
禁運, 0, 0
新的融資, 0, 0
主要人事, 0, 0
特殊目的機構, 0, 0
Sarbanes-Oxley 法案, 0, 0
積壓訂貨, 0, 0
網路安全措施, 0, 0
盈虧互抵, 0, 0
加盟被授權者, 0, 0
稅務罰金, 0, 0
適當的安置, 0, 0
股票價格下降, 0, 0
安隆公司, 0, 0
產權減損, 0, 0
國稅局判決, 0, 0
過時工業, 0, 0
避稅行為, 0, 0
足夠的配備職工, 0, 0
交換契約, 0, 0
降低保密等級, 0, 0
行政調查, 0, 0
消息報導, 0, 0
未處理的事務, 0, 0
工會選舉, 0, 0
集體訴訟?, 0, 0
空頭, 0, 0
負的營運現金流量, 0, 0
不動產投資信託, 0, 0
管制批准, 0, 0
股票價格下跌, 0, 0
組織縮編, 0, 0
清償力, 0, 0
盧布, 0, 0
易變的權益實體, 0, 0
新的資金籌集, 0, 0
滯銷貨, 0, 0
獨家供應商, 0, 0
一般經濟狀況, 0, 0
新屋開工率, 0, 0
可能的重述, 0, 0
訂貨, 0, 0
提供資金的狀況, 0, 0
備付所得稅, 0, 0
通貨瓦解, 0, 0
虧絀, 0, 0
債信評等, 0, 0
波動性的收入, 0, 0
食品藥物管理局的批准, 0, 0
管制改變, 0, 0
強制課稅, 0, 0
滯銷品, 0, 0
沒有運轉, 0, 0
易變的營業結果, 0, 0
制衡作用, 0, 0
營運損失, 0, 0
沙賓法案, 0, 0
改量, 0, 0
無形體的整合, 0, 0
降級, 0, 0
目前沒有運作, 0, 0
欠繳稅款, 0, 0
無現行作業, 0, 0
贅餘, 0, 0
規定批准, 0, 0
理性的, 0, 0
資本租賃, 0, 0
租約承諾, 0, 0
資金不足的養老金, 0, 0
左輪手槍, 0, 0
限制批准, 0, 0
幣值波動, 0, 0
稅務罰款, 0, 0
信貸評級, 0, 0
無形的整合, 0, 0
州稅, 0, 0
不利的判決, 0, 0
重編報表, 0, 0
適當的用人, 0, 0
解除管制, 0, 0
負債負擔, 0, 0
限制改變, 0, 0
審判的強制性, 0, 0
高層管理, 0, 0
強制捐贈, 0, 0
會計估計的不確定性, 0, 0
新產品接受度, 0, 0
滯銷存貨, 0, 0
確定給付制, 0, 0
國稅局稽核, 0, 0
不利的裁決, 0, 0
關鍵人員, 0, 0
行政批准, 0, 0
重構的實行, 0, 0
不易變現的市場, 0, 0
一般業務風險, 0, 0
沒有作業, 0, 0
維持期, 0, 0
一般條件, 0, 0
評價的強制性, 0, 0
規定變更, 0, 0
行政管制, 0, 0
波動性的營業成績, 0, 0
供應商罷工, 0, 0
經營特許權, 0, 0
組織內的銷售計畫, 0, 0
未了訴訟, 0, 0
所有權集中協定, 0, 0
挺率，財務槓桿作用, 0, 0
創立合併, 0, 0
新產品可接納性, 0, 0
內部人買賣, 0, 0
稅務風險估列, 0, 0
限制認可, 0, 0
臨床前的, 0, 0
經濟不確定的狀況; 經濟疑慮, 0, 0
稅務稽查, 0, 0
勞工聯盟許可證, 0, 0
不利的評價, 0, 0
技術過時, 0, 0
國稅局審判, 0, 0
潛在訴訟, 0, 0
存貨過多, 0, 0
流動性；變現性, 0, 0
住宅動工指數, 0, 0
仲裁的強制性, 0, 0
催繳股款, 0, 0
投資附屬公司, 0, 0
應納稅額, 0, 0
盲從, 0, 0
縮減規模, 0, 0
法規符合性, 0, 0
運行環境, 0, 0
降等, 0, 0
股票價格波動性, 0, 0
有限的買賣, 0, 0
建築工程合約著作權, 0, 0
恐怖主義, 0, 0
銀行負債, 0, 0
銷售生產性的資產, 0, 0
政府審查, 0, 0
規定認可, 0, 0
買賣權, 0, 0
出售有生產效益的資產, 0, 0
鎖在租賃期間, 0, 0
關稅制度, 0, 0
同化, 0, 0
管制認可, 0, 0
供應商共同合作, 0, 0
易變的銷售, 0, 0
遲延履約, 0, 0
依賴主要供應商, 0, 0
依賴主要客戶, 0, 0
熟悉內幕的銷售計畫, 0, 0
義務的貢獻, 0, 0
阿富汗, 0, 0
線上的, 0, 0
命令的捐助, 0, 0
資產證券化, 0, 0
行政審查, 0, 0
重新集資金, 0, 0
內部銷售, 0, 0
所有者的, 0, 0
受管制的環境, 0, 0
技術報廢, 0, 0
規定的環境, 0, 0
亞洲風暴, 0, 0
持續保有高階管理, 0, 0
國外匯兌, 0, 0
信貸措施, 0, 0
順從, 0, 0
非流動市場, 0, 0
所有人, 0, 0
改組, 0, 0
住房開工率, 0, 0
公共報導, 0, 0
磅, 0, 0
超級基金, 0, 0
反壟斷, 0, 0
非現金的市場, 0, 0
重新借款, 0, 0
品牌認知, 0, 0
商譽減損, 0, 0
顧客集中度, 0, 0
