filename, totalwords, totalkwds, Tax, Legal, Fin, Sys, Idio, rm_totalwords, rm_totalkwds, rm_Tax, rm_Legal, rm_Fin, rm_Sys, rm_Idio, rate_totalwords, rate_totalkwds, rate_Tax, rate_Legal, rate_Fin, rate_Sys, rate_Idio, techindustry_totalwords, techindustry_totalkwds, techindustry_Tax, techindustry_Legal, techindustry_Fin, techindustry_Sys, techindustry_Idio, investment_totalwords, investment_totalkwds, investment_Tax, investment_Legal, investment_Fin, investment_Sys, investment_Idio, expansion_totalwords, expansion_totalkwds, expansion_Tax, expansion_Legal, expansion_Fin, expansion_Sys, expansion_Idio, purchsales_totalwords, purchsales_totalkwds, purchsales_Tax, purchsales_Legal, purchsales_Fin, purchsales_Sys, purchsales_Idio, rd_totalwords, rd_totalkwds, rd_Tax, rd_Legal, rd_Fin, rd_Sys, rd_Idio, image_totalwords, image_totalkwds, image_Tax, image_Legal, image_Fin, image_Sys, image_Idio, shares_totalwords, shares_totalkwds, shares_Tax, shares_Legal, shares_Fin, shares_Sys, shares_Idio, merge_totalwords, merge_totalkwds, merge_Tax, merge_Legal, merge_Fin, merge_Sys, merge_Idio, manage_totalwords, manage_totalkwds, manage_Tax, manage_Legal, manage_Fin, manage_Sys, manage_Idio, rule_totalwords, rule_totalkwds, rule_Tax, rule_Legal, rule_Fin, rule_Sys, rule_Idio, lawsuit_totalwords, lawsuit_totalkwds, lawsuit_Tax, lawsuit_Legal, lawsuit_Fin, lawsuit_Sys, lawsuit_Idio, else_totalwords, else_totalkwds, else_Tax, else_Legal, else_Fin, else_Sys, else_Idio, crisis_totalwords, crisis_totalkwds, crisis_Tax, crisis_Legal, crisis_Fin, crisis_Sys, crisis_Idio, other_totalwords, other_totalkwds, other_Tax, other_Legal, other_Fin, other_Sys, other_Idio, 
2007103527聚積, 3703, 210, 0, 13, 4, 93, 100, 0, 0, 0, 0, 0, 0, 0, 90, 24, 0, 0, 2, 18, 4, 105, 20, 0, 0, 0, 8, 12, 81, 12, 0, 0, 2, 10, 0, 19, 1, 0, 0, 0, 0, 1, 85, 14, 0, 0, 0, 8, 6, 129, 3, 0, 0, 0, 2, 1, 38, 1, 0, 0, 0, 1, 0, 40, 0, 0, 0, 0, 0, 0, 32, 3, 0, 1, 0, 0, 2, 17, 0, 0, 0, 0, 0, 0, 39, 2, 0, 1, 0, 0, 1, 229, 35, 0, 7, 0, 12, 16, 2764, 95, 0, 4, 0, 34, 57, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2009013576新日光, 1920, 178, 1, 13, 10, 90, 64, 0, 0, 0, 0, 0, 0, 0, 200, 40, 0, 0, 5, 29, 6, 106, 13, 0, 0, 0, 8, 5, 199, 18, 0, 0, 0, 16, 2, 85, 6, 0, 0, 0, 3, 3, 330, 30, 0, 0, 0, 12, 18, 151, 8, 0, 0, 0, 3, 5, 30, 1, 0, 0, 0, 1, 0, 31, 0, 0, 0, 0, 0, 0, 22, 2, 0, 0, 0, 0, 2, 24, 0, 0, 0, 0, 0, 0, 115, 7, 1, 0, 0, 4, 2, 580, 53, 0, 13, 5, 14, 21, 12, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2006083128昇銳, 2486, 163, 0, 24, 3, 75, 61, 0, 0, 0, 0, 0, 0, 0, 446, 44, 0, 0, 3, 34, 7, 63, 12, 0, 1, 0, 0, 11, 53, 2, 0, 0, 0, 2, 0, 48, 6, 0, 1, 0, 3, 2, 144, 13, 0, 1, 0, 3, 9, 488, 14, 0, 0, 0, 6, 8, 49, 4, 0, 1, 0, 2, 1, 117, 3, 0, 0, 0, 0, 3, 40, 3, 0, 0, 0, 0, 3, 40, 2, 0, 1, 0, 0, 1, 70, 3, 0, 2, 0, 0, 1, 888, 57, 0, 17, 0, 25, 15, 5, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2010056803崑鼎, 10055, 511, 13, 61, 28, 280, 129, 0, 0, 0, 0, 0, 0, 0, 633, 89, 0, 3, 9, 58, 19, 82, 11, 0, 1, 0, 3, 7, 353, 9, 0, 1, 0, 8, 0, 9, 1, 0, 0, 0, 0, 1, 40, 3, 0, 0, 0, 0, 3, 1773, 71, 0, 3, 0, 22, 46, 59, 3, 0, 1, 0, 1, 1, 44, 0, 0, 0, 0, 0, 0, 227, 9, 0, 2, 0, 2, 5, 20, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 5754, 249, 11, 45, 13, 148, 32, 896, 56, 0, 3, 5, 36, 12, 30, 1, 0, 0, 1, 0, 0, 71, 9, 2, 2, 0, 2, 3, 
2008011583程泰, 2765, 188, 5, 14, 5, 121, 43, 0, 0, 0, 0, 0, 0, 0, 400, 48, 5, 0, 3, 33, 7, 89, 11, 0, 0, 0, 5, 6, 911, 38, 0, 5, 0, 31, 2, 60, 6, 0, 0, 0, 4, 2, 267, 17, 0, 1, 0, 10, 6, 374, 27, 0, 1, 0, 16, 10, 33, 1, 0, 0, 0, 1, 0, 79, 2, 0, 0, 0, 1, 1, 39, 3, 0, 1, 0, 0, 2, 73, 5, 0, 2, 0, 3, 0, 56, 0, 0, 0, 0, 0, 0, 341, 29, 0, 4, 1, 17, 7, 7, 0, 0, 0, 0, 0, 0, 31, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2006068996高力, 1731, 199, 1, 12, 3, 115, 68, 0, 0, 0, 0, 0, 0, 0, 212, 43, 1, 1, 1, 32, 8, 300, 35, 0, 1, 0, 21, 13, 70, 3, 0, 0, 0, 3, 0, 181, 30, 0, 0, 0, 14, 16, 189, 20, 0, 1, 1, 10, 8, 76, 3, 0, 0, 0, 1, 2, 36, 1, 0, 0, 0, 1, 0, 44, 0, 0, 0, 0, 0, 0, 21, 2, 0, 0, 0, 0, 2, 47, 1, 0, 0, 0, 0, 1, 391, 43, 0, 5, 0, 23, 15, 122, 17, 0, 4, 0, 10, 3, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2013068176智捷, 2851, 250, 2, 14, 7, 122, 105, 0, 0, 0, 0, 0, 0, 0, 206, 34, 0, 2, 1, 26, 5, 96, 16, 0, 0, 1, 7, 8, 110, 15, 0, 1, 0, 14, 0, 58, 7, 0, 1, 0, 1, 5, 319, 36, 0, 0, 0, 14, 22, 389, 35, 0, 0, 2, 9, 24, 26, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 52, 6, 0, 1, 0, 0, 5, 26, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 110, 14, 0, 4, 0, 7, 3, 7, 0, 0, 0, 0, 0, 0, 30, 1, 0, 0, 1, 0, 0, 1335, 86, 2, 5, 2, 44, 33, 
2006063293鈊象, 2369, 210, 5, 10, 6, 95, 94, 0, 0, 0, 0, 0, 0, 0, 546, 46, 5, 0, 6, 23, 12, 485, 81, 0, 2, 0, 33, 46, 45, 2, 0, 0, 0, 2, 0, 19, 3, 0, 0, 0, 0, 3, 14, 2, 0, 0, 0, 0, 2, 103, 1, 0, 0, 0, 1, 0, 171, 12, 0, 0, 0, 3, 9, 59, 1, 0, 0, 0, 1, 0, 15, 2, 0, 0, 0, 0, 2, 17, 0, 0, 0, 0, 0, 0, 441, 24, 0, 6, 0, 12, 6, 412, 36, 0, 2, 0, 20, 14, 7, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2006023452益通, 3834, 369, 0, 8, 4, 177, 180, 0, 0, 0, 0, 0, 0, 0, 253, 37, 0, 0, 4, 27, 6, 26, 3, 0, 0, 0, 0, 3, 123, 9, 0, 1, 0, 8, 0, 43, 4, 0, 0, 0, 1, 3, 153, 16, 0, 0, 0, 5, 11, 444, 27, 0, 0, 0, 13, 14, 52, 1, 0, 0, 0, 1, 0, 36, 0, 0, 0, 0, 0, 0, 33, 4, 0, 0, 0, 0, 4, 54, 2, 0, 0, 0, 2, 0, 80, 2, 0, 0, 0, 1, 1, 124, 18, 0, 5, 0, 10, 3, 2378, 246, 0, 2, 0, 109, 135, 30, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
2011064942嘉彰, 3299, 213, 6, 15, 6, 108, 78, 0, 0, 0, 0, 0, 0, 0, 598, 68, 1, 1, 2, 57, 7, 51, 11, 0, 0, 0, 5, 6, 146, 17, 0, 0, 3, 13, 1, 20, 2, 0, 0, 0, 0, 2, 145, 12, 0, 0, 0, 4, 8, 140, 20, 0, 0, 0, 2, 18, 46, 2, 0, 1, 0, 0, 1, 53, 0, 0, 0, 0, 0, 0, 44, 5, 0, 0, 0, 1, 4, 10, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 110, 14, 0, 4, 0, 7, 3, 1850, 61, 5, 9, 0, 19, 28, 30, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 
