word, tf, df
金, 38540, 9936
產品, 25704, 6602
元, 23036, 6260
匯率, 17694, 3982
市場, 15460, 6604
訴訟, 14520, 3208
實, 13558, 6106
技術, 12120, 3674
稅, 10076, 1472
集中, 9468, 3454
科技, 9044, 4070
膨脹, 8636, 3032
通貨膨脹, 8414, 2996
價格, 7982, 4632
生產, 7832, 3162
證券, 6758, 2952
需求, 6678, 3834
經濟, 5894, 2006
銀, 5838, 2654
外匯, 5464, 2514
競爭, 5266, 2482
執行, 4814, 2348
擴充, 4808, 3348
避險, 4744, 2706
外幣, 4642, 2208
併購, 4570, 2878
設備, 4388, 1834
專利, 4240, 684
維持, 3652, 2722
借款, 3478, 1856
環境, 3456, 1748
原料, 3380, 1740
實質, 3202, 2632
美元, 3052, 1286
人員, 2904, 1424
標的, 2646, 2036
材料, 2562, 1198
消費, 2364, 1350
發行, 2330, 944
美金, 2318, 1192
產能, 2136, 1102
負債, 1914, 1134
安全, 1874, 996
外銷, 1840, 1256
油, 1636, 780
圓, 1614, 532
財務狀況, 1550, 1326
品牌, 1464, 662
合併, 1418, 756
創新, 1398, 988
被告, 1396, 366
人民幣, 1366, 360
損害, 1296, 498
鋼, 1234, 366
認證, 1210, 556
管制, 1210, 448
責任, 1198, 838
原告, 1176, 332
消費者, 1166, 724
訂單, 1140, 646
衍生性金融商品, 1120, 894
專利權, 1032, 326
租稅, 1006, 314
行銷, 980, 590
程度, 980, 774
出口, 958, 462
軟體, 946, 332
市場需求, 908, 716
IT, 884, 346
期貨, 820, 220
銀行借款, 796, 664
債務, 760, 552
結合, 756, 520
損害賠償, 732, 316
同意, 692, 362
金屬, 646, 296
遵守, 642, 536
研究發展, 582, 460
驗證, 562, 244
聯邦, 558, 144
智慧財產, 558, 238
信用風險, 536, 314
貸款, 528, 348
產製, 526, 372
分配, 518, 242
負擔, 492, 384
營運資金, 486, 420
短缺, 486, 410
歐元, 486, 290
經濟成長, 478, 178
訓練, 466, 312
內部控制, 462, 330
擴展, 460, 402
廢棄, 446, 150
歐盟, 436, 206
循環, 422, 306
成長率, 408, 172
經銷商, 386, 240
到期, 382, 294
股利, 378, 156
單一客戶, 374, 320
關係人, 372, 222
國稅, 366, 124
生產技術, 360, 292
約定, 358, 218
資金成本, 354, 312
購併, 340, 212
電力, 324, 178
違約, 316, 146
減損, 294, 74
資本支出, 292, 254
競爭者, 286, 204
證明, 284, 190
增值稅, 280, 82
臨床試驗, 278, 82
檢查, 276, 184
收購, 274, 84
罰款, 266, 104
國稅局, 264, 102
有價證券, 262, 152
商標, 254, 90
人事, 250, 198
貨幣政策, 248, 190
產出, 240, 176
家庭, 238, 178
強制執行, 236, 134
反托拉斯, 230, 32
產品發展, 222, 178
換匯, 210, 180
能量, 202, 160
擴張, 188, 150
金融風暴, 182, 140
石油, 172, 138
日圓, 168, 118
賠償金, 166, 128
課稅, 164, 90
設施, 162, 124
原油, 160, 124
知名度, 160, 122
證書, 156, 110
詐欺, 154, 88
加計, 154, 122
廣告, 142, 70
抵押, 142, 62
政府政策, 140, 112
合資, 132, 100
產業景氣, 130, 104
紅利, 116, 62
擔保品, 112, 92
市價, 110, 76
重整, 110, 58
套利, 108, 104
商譽, 106, 78
單一供應商, 106, 96
風險因素, 106, 92
網際網路, 106, 86
等級, 104, 76
燃料, 104, 60
產品組合, 104, 96
黃金, 100, 38
立法, 100, 80
有害, 98, 64
高階主管, 96, 78
石灰, 96, 30
即期, 94, 88
營業稅, 92, 48
住宅, 90, 70
承銷, 90, 54
新建工程, 86, 40
評等, 86, 70
人工成本, 84, 60
國際財務報導準則, 84, 82
傷害, 84, 68
成本控制, 82, 80
天然氣, 80, 56
附屬, 76, 66
重組, 74, 50
企業文化, 72, 56
集中度, 66, 64
電氣, 64, 42
查詢, 64, 44
煤, 64, 50
規模經濟, 62, 58
計入, 60, 34
投資子公司, 58, 46
勞資關係, 58, 54
經濟衰退, 58, 48
高層, 54, 50
資訊科技, 52, 52
到期日, 52, 44
配銷, 50, 24
天然災害, 50, 40
中東, 50, 40
商業化, 48, 26
詢問, 48, 38
資產減損, 44, 28
遞延所得稅資產, 44, 8
產業環境, 42, 38
季節性, 42, 38
專利的, 42, 32
不景氣, 40, 36
市場接受度, 40, 34
消費品, 40, 40
經濟增長, 38, 28
納稅義務, 38, 38
勞動成本, 36, 24
SARS, 34, 22
信用評等, 34, 34
採礦, 34, 12
勞動關係, 34, 20
戰爭, 30, 18
稅金, 30, 30
再保險, 28, 28
替代品, 28, 22
資金狀況, 28, 28
